Species,Habitat,Clade,Max_Height,Leaf_Area,SiO2_Leaf,N_Leaf,C_Leaf,P_Leaf,Trichome_Density,Trichome_Length,Chlorophyll,Expansion,Catechin,Gallocatechin,Mevalonic_Acid
acreana,floodplain,Clade1,22,42.35915319,7.554222983,3.19725,49.40675,0.113583502,0.2,0.45,9500,32.16,0,0,1
alata,generalist,Clade3,10.5,51.18141271,5.957086231,3.465,49.18,0.137541502,0.545454545,1.136363636,12200,29.28,0,0,1
alba,upland,Basal,32.5,52.04567797,8.810028987,4.156,48.368,0.09874898,1.2,0.195,6300,80.03,0,0,1
auristellae,upland,Clade3,16,14.56665453,9.531475988,2.92125,48.62275,0.100040541,1.131578947,0.284210526,2000,48.46,0,1,1
barbata,floodplain,Clade2,12,18.62953846,7.510051694,3.003,48.058,0.129065041,NA,NA,NA,NA,NA,NA,NA
bourgonii,floodplain,Clade1,44.2,54.20394227,12.04748028,3.155666667,48.01,0.126097937,0,0,10300,52.2,1,0,1
brachystachys.cf,upland,Basal,9.6,40.39917217,NA,NA,NA,NA,62.75,1.275,4600,58.44,0,0,0
capitata,generalist,Basal,25,94.7970077,18.40382123,2.644,46.79575,0.110596834,0.1875,0.4375,7500,42.08,0,0,0
cayennensis,upland,Clade2,25,12.42517127,9.057570804,3.465,47.616,0.115868526,NA,NA,NA,NA,NA,NA,NA
chartacea,generalist,Clade1,10,82.75984354,5.526256244,2.615,49.759,0.113253012,7.857142857,2.605952381,6300,36.69,1,0,1
cinnamomea,floodplain,Other,7.5,61.38779603,8.485196595,4.584,47.434,0.218740157,NA,NA,NA,NA,NA,NA,NA
cylindrica.cf,upland,Clade3,21.8,31.10717799,11.77573989,2.646,47.441,0.093809524,0.65,0.9875,6600,66.42,0,0,1
densiflora,generalist,Clade4,11.2,36.74648802,16.52180382,2.807,46.485,0.097776808,NA,NA,NA,NA,NA,NA,NA
edulis,generalist,Clade2,37.9,54.80833993,8.228029868,3.274,48.491,0.153809524,122.9259259,2.068518519,7100,52.22,1,0,0
fosteriana,floodplain,Clade2,5,145.0422281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
heterophylla,upland,Basal,5,10.18126975,NA,NA,NA,NA,0.166666667,0.333333333,6100,53.51,0,0,0
klugii,floodplain,Clade1,6,20.6260617,7.727803722,3.198,46.897,0.150231707,NA,NA,NA,NA,NA,NA,NA
laurina,upland,Basal,39.1,52.55187651,11.75925904,2.927666667,47.93333333,0.097078774,0,0,5000,55.36,0,0,1
leiocalycina,upland,Clade4,25.2,31.82384484,8.300368397,3.567,48.823,0.126027709,6.952380952,3.955555556,11200,26.68,0,0,0
marginata,floodplain,Clade1,40.8,29.52374122,15.69322807,3.129,46.225,0.19824,0,0,2540,50.8,0,1,1
morpho.18,upland,Clade4,3,35.27350699,NA,NA,NA,NA,1,1.5,10700,31.77,0,0,0
morpho.21,floodplain,Clade3,18.2,50.67418851,8.839102887,2.829,48.087,0.153170732,0,0,7000,48.32,0,0,1
morpho.22,upland,Basal,21.1,62.45417774,7.738372837,3.435,50.109,0.134693878,0,0,11000,34.99,0,0,0
morpho.53,generalist,Basal,6.2,28.29633512,NA,NA,NA,NA,0,0,2026,34.43555,0,0,0
nobilis,floodplain,Other,13,26.77437898,8.959349601,2.8944,48.0812,0.131525602,12.7,2,2532,50.8417,1,0,0
poeppigiana,upland,Clade2,17.1,14.70250712,6.912073488,3.59,48.356,0.118026585,11.14285714,8.219404762,5600,32.18,0,1,0
punctata,floodplain,Clade4,15.9,55.64629583,12.37288023,2.898,47.116,0.148844,50,2.2,2875,NA,0,1,0
ruiziana,floodplain,Clade1,23.8,42.57924128,12.43383875,2.6775,47.1035,0.183586376,15,1.6,2570,NA,0,1,0
sapindoides,floodplain,Clade2,22.8,89.65623804,12.00066551,3.829,45.853,0.193451386,5.166666667,8.683333333,2500,51,0,0,1
setosa,floodplain,Clade2,16.6,22.32013305,NA,NA,NA,NA,8,9.94,2450,NA,NA,NA,NA
steinbachii,floodplain,Clade2,22.7,39.04537256,9.566231421,3.02,49.009,0.114867886,NA,NA,NA,NA,NA,NA,NA
suaveolens,floodplain,Clade4,18,20.65707402,6.838539876,3.567,47.2295,0.145734943,2.5,2.916666667,2288,NA,NA,NA,NA
tenuistipula,generalist,Basal,8.1,67.37054274,NA,NA,NA,NA,0,0,15100,16.93,1,0,0
thibaudiana,upland,Clade2,27,32.45273072,10.60487827,3.234,47.704,0.099196407,140.3333333,2.398,12000,34.53,0,1,0
tomentosa,floodplain,Clade1,13,73.0867952,6.190085042,4.0605,49.0055,0.246654232,0.625,1.0625,8400,47.32,0,0,1
umbellifera,upland,Basal,25.4,55.51580466,7.120333646,3.583,48.32466667,0.124045127,3.692307692,0.607692308,4000,37.93,0,0,0
venusta,upland,Other,27.4,97.6022862,8.684173961,2.896,48.461,0.116716599,3.428571429,3.828571429,15600,21.38,0,1,0
